Region_NeW_cd;Variable_NeW_cd;Sector_NeW;Commodity_NeW_nm;Value_TJ;Share
WL;DFINENP;14;GAS;50920.191;0.07389813737516221
WL;DFINENP;14;LBF;12.0704;1.0
WL;DFINENP;14;OIL;242112.0784007;0.7946604344944594
WL;DFINENP;17;COMB;20869.481;0.8477357965484231
WL;DFINENP;17;ELEC;27.36;0.0004932344138736457
WL;DFINENP;17;GAS;38302.166000000005;0.055586176509712384
WL;DFINENP;17;OIL;1712.1486;0.005619615342541071
WL;DFINENP;17;SBM;1417.7479998012;1.0
WL;DFINENP;38;ELEC;572.4252;0.010319437427211418
WL;DFINENP;38;GAS;146103.526;0.21203334518803327
WM;DFINENP;05;ELEC;3935.9664000000002;0.027867325512790198
WM;DFINENP;06;ELEC;2440.9008;0.017282001476951123
WM;DFINENP;06;OIL;180130.22819999998;0.24775523948665754
WM;DFINENP;07;ELEC;2440.9008;0.017282001476951123
WM;DFINENP;07;GAS;1185067.247;0.5395231595945291
WM;DFINENP;13;COMB;24762.597999999998;0.49972504622269565
WM;DFINENP;13;ELEC;239.88600000000002;0.00169843453134183
WM;DFINENP;14;ELEC;71268.552;0.5045937224995657
WM;DFINENP;14;GAS;412308.88800000004;0.18771103036203213
WM;DFINENP;14;OIL;541424.7232;0.7446879588220789
WM;DFINENP;17;COMB;24789.847264000004;0.5002749537773044
WM;DFINENP;17;ELEC;59767.5141;0.42316437724544037
WM;DFINENP;17;GAS;7828.988;0.0035642874721924143
WM;DFINENP;17;OIL;5494.166;0.007556801691263562
WM;DFINENP;38;ELEC;1145.754;0.008112137256959667
WM;DFINENP;38;GAS;591303.4530000001;0.26920152257124624
