Reg_cd;Sec_cd;int_kstock;ratio_kstock
KR;11;0.267597326;NaN
KR;12;0.267597326;NaN
KR;13;0.405592636;NaN
KR;14;0.405592636;NaN
KR;15;0.722951866;NaN
KR;16;0.722951866;NaN
KR;17;1.241238418;NaN
KR;18;0.722951866;NaN
KR;19;0.722951866;NaN
KR;20;0.722951866;NaN
KR;21;0.722951866;NaN
KR;22;0.873704113;NaN
KR;23;0.873704113;NaN
KR;24;0.873704113;NaN
KR;25;0.374774862;NaN
KR;26;0.468742804;NaN
KR;27;0.971171717;NaN
KR;28;0.670414544;NaN
KR;29;0.971171717;NaN
KR;30;0.971171717;NaN
KR;31;0.585961362;NaN
KR;32;0.585961362;NaN
KR;33;0.380395763;NaN
KR;34;2.822237573;13.09457304
KR;35;2.679330961;NaN
KR;36;2.679330961;NaN
KR;37;2.679330961;NaN
KR;38;2.679330961;NaN
KR;39;2.679330961;NaN
KR;40;2.822237573;13.09457304
KR;41;0.198542306;8.128978351
KR;42;0.494053864;NaN
KR;43;0.472718805;NaN
KR;44;2.754745322;12.7766437
KR;45;2.754745322;12.7766437
KR;46;2.754745322;12.7766437
KR;47;2.754745322;12.7766437
KR;48;2.754745322;12.7766437
KR;49;2.754745322;12.7766437
KR;50;0.669303273;9.72641706
KR;51;0.669303273;9.72641706
KR;52;9.536885036;14.9696442
KR;53;1.550467793;8.25794534
KR;54;0.430344831;7.481983274
KR;55;0.430344831;7.481983274
KR;56;7.668878437;16.29606401
KR;57;1.309588935;11.57817056
KR;58;0.757766097;8.780181586
KR;59;1.486685477;15.00277725
MX;01;1.147772593;12.32200192
MX;02;1.147772593;12.32200192
MX;03;1.142795017;12.34364253
MX;04;1.141119691;12.32631858
MX;05;2.228303044;9.562481385
MX;06;2.228303044;9.562481385
MX;07;2.228303044;9.562481385
MX;08;2.216231071;9.557547498
MX;09;0.549081205;14.14972596
MX;10;0.774545305;8.389115638
MX;11;0.788688518;8.118719366
MX;12;0.788529672;8.121182465
MX;13;0.509726941;15.57947783
MX;14;0.509726941;15.57947783
MX;15;0.786671374;12.13775475
MX;16;0.786671374;12.13775475
MX;17;1.09393127;22.86704266
MX;18;0.786260901;12.15064389
MX;19;0.721240491;43.42933212
MX;20;0.721240491;43.42933212
MX;21;0.721240491;43.42933212
MX;22;0.751096454;21.39015274
MX;23;0.751096454;21.39015274
MX;24;0.751096454;21.39015274
MX;25;0.520388005;13.93748988
MX;26;0.612033277;12.01611492
MX;27;0.930250302;27.85838378
MX;28;0.717418654;12.32226433
MX;29;0.930250302;27.85838378
MX;30;0.930250302;27.85838378
MX;31;0.635951741;15.47169936
MX;32;0.637620611;15.59874064
MX;33;0.803726354;8.107648618
MX;34;3.906329265;17.34009955
MX;35;3.934554249;34.78212484
MX;36;3.934554249;34.78212484
MX;37;3.934554249;34.78212484
MX;38;3.934554249;34.78212484
MX;39;3.934554249;34.78212484
MX;40;3.911207915;17.34636161
MX;41;0.256637499;7.660220568
MX;42;0.939125476;13.72320656
MX;43;1.158498512;14.7081989
MX;44;2.28676641;13.68841282
MX;45;2.28676641;13.68841282
MX;46;2.289707888;13.6925892
MX;47;2.289707888;13.6925892
MX;48;2.29020521;13.69244924
MX;49;2.292639884;13.69986454
MX;50;1.135059613;11.24898671
MX;51;1.136334637;11.26687736
MX;52;7.885983299;16.17455822
MX;53;1.522884178;10.13394171
MX;54;0.941326242;9.737834495
MX;55;0.936433068;9.696806728
MX;56;5.106202324;18.92835552
MX;57;1.597119888;12.21419251
MX;58;1.19188305;11.16995279
MX;59;1.323884064;12.24322616
OE;01;2.003398017;18.82216614
OE;02;2.003398017;18.82216614
OE;03;1.973506845;20.38878853
OE;04;2.009160287;20.72071575
OE;05;2.500175303;14.57014604
OE;06;2.500175303;14.57014604
OE;07;2.500175303;14.57014604
OE;08;2.403903574;13.28633138
OE;09;0.690198925;8.997733751
